,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
rt2zz/redux-persist,51.0,2020.0,,,,,73.0,,,,,,,,,,,,,,,,
palantir/tslint,324.0,2020.0,-20.0,,,,,,,,,,,,,,,,,,,,
umijs/umi,1417.0,2020.0,,,,278.0,86.0,6.0,-40.0,97.0,278.0,369.0,394.0,,3.0,,,,,,,,
retejs/rete,49.0,2020.0,,,,,,,,,,,,,,,,,,,,,
dotansimha/graphql-code-generator,536.0,2020.0,1.0,12.0,1.0,381.0,1.0,1.0,7.0,,381.0,,,,1.0,45.0,,,,,,,
conwnet/github1s,103.0,2021.0,,82.0,,,,,,,,,669.0,105.0,30.0,,,,,,,,
medusajs/medusa,2414.0,2020.0,,,,,,,,400.0,414.0,,,,,,,,,,,,
IvanGoncharov/graphql-voyager,21.0,2020.0,68.0,,,,,,,,,,,,5.0,,,,,,,,
mattermost/focalboard,28.0,2020.0,50.0,,,,,,,,,,,,,,,,,,,,
GoogleChrome/rendertron,12.0,2020.0,75.0,,,,,,,,,,,,,,,,,,,,
FormidableLabs/spectacle,51.0,2020.0,,77.0,,,,77.0,3.0,,,,,,71.0,,,,,,,,
agenda/agenda,70.0,2020.0,49.0,23.0,81.0,,72.0,1.0,,,,,,,70.0,,,,,,,,
GeekyAnts/NativeBase,340.0,2020.0,,,209.0,202.0,14.0,,,,202.0,,,,,,,,,,,,
AmruthPillai/Reactive-Resume,106.0,2020.0,,,,,,,106.0,,469.0,,,,27.0,8.0,,,,,,,
baconjs/bacon.js,305.0,2020.0,,,,,,,,,,,,,,,,,,,,,
NG-ZORRO/ng-zorro-antd,1710.0,2020.0,25.0,64.0,105.0,,,77.0,,,,,,170.0,66.0,,,,,,,,
TypeStrong/ts-node,155.0,2020.0,1.0,3.0,1.0,,85.0,32.0,38.0,,,,563.0,,2.0,,,,,,66.0,,
theatre-js/theatre,271.0,2020.0,,,,,23.0,6.0,,,556.0,302.0,302.0,361.0,,,,,,,,,
renovatebot/renovate,1539.0,2020.0,19.0,8.0,7.0,,8.0,8.0,10.0,,,358.0,70.0,30.0,21.0,37.0,,,,,,,
nrwl/nx,2494.0,2020.0,41.0,140.0,79.0,,52.0,75.0,72.0,204.0,327.0,100.0,224.0,337.0,10.0,,,,,,,,
PostHog/posthog,600.0,2020.0,64.0,,62.0,,5.0,27.0,,,548.0,327.0,837.0,,,,,,,,,,
xtermjs/xterm.js,223.0,2020.0,9.0,,77.0,,,68.0,,,,490.0,,248.0,61.0,,,,,,,,
reach/reach-ui,104.0,2020.0,1.0,95.0,35.0,,34.0,,,,,,,,51.0,,,,,,,,
MichalLytek/type-graphql,794.0,2020.0,13.0,75.0,8.0,,,,394.0,,,,848.0,,206.0,,,,,,,,
logaretm/vee-validate,141.0,2020.0,8.0,5.0,5.0,,,32.0,,,,,,,,,,,,,,,
alibaba/lowcode-engine,751.0,2022.0,,,,,,,91.0,,,,,,,,,,,,,,
material-components/material-components-web,449.0,2020.0,,,9.0,,100.0,,,,,,,100.0,,,,,,,,,
tensorflow/tfjs,2375.0,2020.0,136.0,,,,,,,,706.0,,,526.0,,,,,,,,,
